
running 1 test
p17	id	rgba_bytes	shared_prepare_ns	single_bytes	compact_control_bytes	low_control_bytes	r128_blocks	r128_counter_init_ns	r128_counter_update_ns	r128_counter_updates	r128_counter_storage_bytes	r128_e_proposal_ns	r128_b_proposal_ns	r128_e_cost_ns	r128_b_cost_ns	r128_reassignment_ns	r128_rebuild_ns	r128_refined_cost_ns	r128_candidate_selection_ns	r128_e_merge_updates	r128_b_merge_updates	r128_refined_merge_updates	r128_e_groups	r128_b_groups	r128_refined_groups	r128_retained_plan_bytes	r128_winner_plan_bytes	r128_initial	r128_winner	r128_ordered_bytes	r128_e_bits	r128_e_payload_bytes	r128_e_riff_bytes	r128_b_bits	r128_b_payload_bytes	r128_b_riff_bytes	r128_refined_bits	r128_refined_payload_bytes	r128_refined_riff_bytes	r128_winner_bits	r128_winner_payload_bytes	r128_winner_riff_bytes	r128_winner_hash	r256_blocks	r256_counter_init_ns	r256_counter_update_ns	r256_counter_updates	r256_counter_storage_bytes	r256_e_proposal_ns	r256_b_proposal_ns	r256_e_cost_ns	r256_b_cost_ns	r256_reassignment_ns	r256_rebuild_ns	r256_refined_cost_ns	r256_candidate_selection_ns	r256_e_merge_updates	r256_b_merge_updates	r256_refined_merge_updates	r256_e_groups	r256_b_groups	r256_refined_groups	r256_retained_plan_bytes	r256_winner_plan_bytes	r256_initial	r256_winner	r256_ordered_bytes	r256_e_bits	r256_e_payload_bytes	r256_e_riff_bytes	r256_b_bits	r256_b_payload_bytes	r256_b_riff_bytes	r256_refined_bits	r256_refined_payload_bytes	r256_refined_riff_bytes	r256_winner_bits	r256_winner_payload_bytes	r256_winner_riff_bytes	r256_winner_hash	resolution_selection_ns	single_selection_ns	selected_resolution	compact_kind	compact_bytes	compact_hash	public_compact_exact	low_kind	low_bytes	low_hash	public_low_exact	selected_128_matches_compact	maximum_accounted_live_bytes
p17	clic-validation-000	12192768	22744042	8493940	8130642	8259942	192	22583	8322459	12157110	402816	566500	205625	913375	940666	2580916	125250	925292	83	58786	58786	58786	37	40	40	518184	177152	B	R	8130642	63558457	7944808	7944828	62968758	7871095	7871116	61546366	7693296	7693316	61546366	7693296	7693316	6fef3c2323be96e2	48	2333	7481250	12157110	201408	144000	63792	389875	401875	450625	38958	347000	0	19031	19031	19031	15	16	15	203648	66408	E	R	8259942	64535336	8066917	8066938	64653597	8081700	8081720	64393593	8049200	8049220	64393593	8049200	8049220	291908ac87f11fe2	42	167	128	128	7693316	6fef3c2323be96e2	1	128	7693316	6fef3c2323be96e2	1	1	921000
p17	clic-validation-001	9437184	14104916	6492644	6257982	6309214	144	3416	5565959	9398430	302112	412417	155208	644250	544083	1415583	96917	584125	0	48562	48562	48562	26	24	26	336656	115168	E	R	6257982	49954539	6244318	6244338	50061350	6257669	6257690	48996586	6124574	6124594	48996586	6124574	6124594	e4a776f3634e6f85	40	1875	5553875	9398430	167840	129708	47500	302917	267750	336833	25208	280750	42	16334	16334	16334	12	11	12	154960	53128	E	R	6309214	50528909	6316114	6316134	50661167	6332646	6332666	50393004	6299126	6299146	50393004	6299126	6299146	1d253c5bc57c7f81	125	0	128	128	6124594	e4a776f3634e6f85	1	128	6124594	e4a776f3634e6f85	1	1	638768
p17	clic-validation-002	9437184	13560041	7003512	5799410	5942826	144	3916	5575792	9434830	302112	416833	136333	499125	473833	1142291	94667	470917	0	36936	36936	36936	22	21	22	287992	97472	E	R	5799410	47427354	5928420	5928440	47752881	5969111	5969132	47086641	5885831	5885852	47086641	5885831	5885852	3b88c6c03cac89b9	40	1875	5597708	9434830	167840	116917	52167	296458	299542	310334	30791	301500	41	13272	13272	13272	13	13	13	172656	57552	E	E	5942826	48147655	6018457	6018478	48655542	6081943	6081964	48147655	6018457	6018478	48147655	6018457	6018478	4c91febc7f31e56a	166	0	128	128	5885852	3b88c6c03cac89b9	1	128	5885852	3b88c6c03cac89b9	1	1	590104
p17	clic-validation-003	9437184	14024125	6632596	6050450	6126922	144	3500	5647458	9406614	302112	422208	160042	566292	636875	1387958	107792	589792	42	40364	40364	40364	24	26	26	336656	115168	B	R	6050450	49003124	6125391	6125412	48781066	6097634	6097654	47573080	5946635	5946656	47573080	5946635	5946656	acfbf010dabd397a	40	2250	5534875	9406614	167840	121500	52250	288375	316291	359917	37125	321750	42	15022	15022	15022	12	14	14	177080	61976	B	R	6126922	49657685	6207211	6207232	48993857	6124233	6124254	48974202	6121776	6121796	48974202	6121776	6121796	92e9bbb25e09a595	125	125	128	128	5946656	acfbf010dabd397a	1	128	5946656	acfbf010dabd397a	1	1	638768
p17	clic-validation-004	9437184	14185833	6217656	5328258	5437070	144	3833	5534083	9381628	302112	369625	116875	208125	161583	578500	82041	201042	0	20266	20266	20266	10	8	10	124304	44384	E	R	5328258	42589665	5323709	5323730	42878744	5359843	5359864	41586481	5198311	5198332	41586481	5198311	5198332	4b1d4762577a5c62	40	2500	5742125	9381628	167840	118125	66125	140375	113792	194625	48833	145583	42	7808	7808	7808	6	5	6	75328	26584	E	R	5437070	43589403	5448676	5448696	43884103	5485513	5485534	43355860	5419483	5419504	43355860	5419483	5419504	76ad8687a0439dbe	125	0	128	128	5198332	4b1d4762577a5c62	1	128	5198332	4b1d4762577a5c62	1	1	426416
p17	clic-validation-005	9437184	15460125	5914660	5539552	5390698	144	4041	5241750	8579154	302112	374500	120084	312459	253000	651250	87959	257583	42	31486	31486	31486	14	12	12	168544	53232	B	R	5539552	44295107	5536889	5536910	44188331	5523542	5523562	42695949	5336994	5337014	42695949	5336994	5337014	d5407df88594a4b9	40	2167	5240500	8579154	167840	119084	51708	280333	194667	235292	27959	195791	41	11016	11016	11016	11	9	9	128416	39856	B	R	5390698	43526167	5440771	5440792	43415608	5426951	5426972	42063369	5257922	5257942	42063369	5257922	5257942	e901da4385699dc1	41	83	256	128	5337014	d5407df88594a4b9	1	256	5257942	e901da4385699dc1	1	0	470656
p17	clic-validation-006	9437184	15266083	6064388	5188746	5209140	144	3959	5493084	9089106	302112	376542	132750	387750	422875	784958	86125	409041	42	18836	18836	18836	20	24	24	301264	106320	B	R	5188746	40934007	5116751	5116772	40511471	5063934	5063954	39789171	4973647	4973668	39789171	4973647	4973668	b185592ecb847cfb	40	1708	5885625	9089106	167840	155458	50708	298042	256958	272417	27667	288916	0	7232	7232	7232	13	13	13	172656	57552	E	R	5209140	41345707	5168214	5168234	41934328	5241791	5241812	40995429	5124429	5124450	40995429	5124429	5124450	42f1cb68aa2e7395	83	125	128	128	4973668	b185592ecb847cfb	1	128	4973668	b185592ecb847cfb	1	1	603376
p17	clic-validation-007	12192768	19480750	8713390	7922454	8112576	192	7417	7882125	12119536	402816	581458	317000	982792	753417	2304875	130042	792291	0	64676	64676	64676	35	31	35	447400	155032	E	R	7922454	64326374	8040797	8040818	64495788	8061974	8061994	62747543	7843443	7843464	62747543	7843443	7843464	a762148f2a392f32	48	2083	7371291	12119536	201408	132500	57750	335959	374250	430875	39041	338125	0	20225	20225	20225	13	15	13	181528	57560	E	R	8112576	65337909	8167239	8167260	65415475	8176935	8176956	65217624	8152203	8152224	65217624	8152203	8152224	668170144e57e446	0	83	128	128	7843464	a762148f2a392f32	1	128	7843464	a762148f2a392f32	1	1	850216
p17	clic-validation-008	7902720	12922959	5324192	4327522	4391630	128	4083	4773584	7733230	268544	354792	122625	518334	323625	753542	77292	319791	42	28511	28511	28511	24	16	16	248128	70912	B	R	4327522	36504742	4563093	4563114	35788865	4473609	4473630	34831390	4353924	4353944	34831390	4353924	4353944	71f4f8860124131c	32	1625	4873708	7733230	134272	104375	44917	263500	260958	225542	22833	234875	0	9437	9437	9437	11	12	11	150512	48696	E	R	4391630	36910056	4613757	4613778	36912349	4614044	4614064	36657023	4582128	4582148	36657023	4582128	4582148	25a5e2711f680644	84	42	128	128	4353944	71f4f8860124131c	1	128	4353944	71f4f8860124131c	1	1	516672
p17	clic-validation-009	7902720	13423042	5408128	5063414	5114026	128	3875	4888625	7757136	268544	360916	117792	459625	310000	915042	90750	354792	0	39688	39688	39688	14	12	14	177344	62064	E	R	5063414	41311648	5163956	5163976	41780950	5222619	5222640	39558748	4944844	4944864	39558748	4944844	4944864	ab3edbac97109399	32	1792	4993250	7757136	134272	100125	39291	217292	141958	255708	23500	207291	0	13625	13625	13625	7	5	7	84152	31000	E	R	5114026	41307939	5163493	5163514	41747061	5218383	5218404	41058527	5132316	5132336	41058527	5132316	5132336	faa263e2dc796f89	0	82	128	128	4944864	ab3edbac97109399	1	128	4944864	ab3edbac97109399	1	1	445888
